MS,commit,author,date,message,branch
23325,da89e81,Miklos Koren,"Tue Dec 10 18:28:33 2019 +0100","BUGFIX: remove files removed by author"," (HEAD -> master, tag: v2, origin/master, origin/HEAD)"
23325,b682cd6,Miklos Koren,"Tue Dec 10 18:25:14 2019 +0100","Second submission by author",""
23325,0a60f54,Miklos Koren,"Thu Nov 14 10:44:52 2019 +0100","Add incoming materials",""
27804,7fc34fe,Miklos Koren,"Wed Sep 9 09:56:35 2020 +0200","Update report"," (HEAD -> master, origin/master, origin/HEAD)"
27804,5e48e17,Miklos Koren,"Tue Aug 11 20:39:17 2020 +0200","Add files from 10.5281/zenodo.3972652"," (tag: accepted)"
27804,8c473a2,Miklos Koren,"Wed Jul 29 14:56:06 2020 +0200","Include run results",""
27804,98880a3,Miklos Koren,"Wed Jul 29 14:23:59 2020 +0200","Add report on Version 1",""
27804,54bd784,Miklos Koren,"Wed Jul 29 14:23:43 2020 +0200","Add new version from https://zenodo.org/record/3955032",""
27804,77e784b,Miklos Koren,"Fri Jul 17 18:04:48 2020 +0200","Run code once",""
27804,713b6b5,Miklos Koren,"Fri Jul 17 17:33:10 2020 +0200","Include all files from submission and remove files not there.",""
27804,4f72a78,Miklos Koren,"Fri Jul 17 17:22:23 2020 +0200","Add files from https://zenodo.org/record/3940837#.XxF15pMzbUJ",""
27804,8ca9689,Miklos Koren,"Thu Jan 16 15:16:54 2020 +0100","Remove absolute path, add report.yaml",""
27804,7909cd8,Miklos Koren,"Fri Dec 6 11:16:04 2019 +0100","Incoming files",""
27804,f368ebc,Miklós Koren,"Fri Dec 6 11:12:30 2019 +0100","Initial commit",""
RDV,4191b8c,Miklos Koren,"Fri Dec 6 11:26:23 2019 +0100","Bloom, Draca, Van Reenen published files"," (HEAD -> master, origin/master, origin/HEAD)"
RDV,0307ee3,Miklós Koren,"Fri Dec 6 11:24:07 2019 +0100","Initial commit",""
18075,6397223,Miklos Koren,"Wed Nov 11 19:43:54 2020 +0100","Add files from author"," (origin/author)"
18075,a81dac2,Miklos Koren,"Fri Sep 25 10:09:56 2020 +0200","Clean up repo to share with author",""
18075,a7c62b0,Miklos Koren,"Fri Sep 25 09:59:17 2020 +0200","Update report for new version",""
18075,8acb0fd,Gergely Attila Kiss,"Mon Sep 21 09:59:57 2020 +0200","update report.yaml",""
18075,009a370,Miklos Koren,"Fri Sep 25 09:37:50 2020 +0200","Update report for new version",""
18075,387916c,Gergely Attila Kiss,"Mon Sep 21 09:59:57 2020 +0200","update report.yaml"," (HEAD -> master, origin/master, origin/HEAD)"
18075,4b9969e,Gergely Attila Kiss,"Sun Sep 20 19:32:31 2020 +0200","update report.yaml",""
18075,7a3b5f8,Gergely Attila Kiss,"Sun Sep 20 19:32:03 2020 +0200","add files from supplementary.zip",""
18075,6db64f9,Miklos Koren,"Fri Sep 18 13:25:47 2020 +0200","Move code, data and results in different folders",""
